426.304736530764,-0,-0,-0,-0,0,63.5052496084083,-0,-0,-0,-0,-0
-0,3.96229032839901,-0,-0,-0,-0,-0,0.84049312866546,0,-0,-0,-0
-0,-0,289.006347272967,-0,-0,-0,-0,-0,23.065299034675,0,-0,-0
-0,-0,-0,3.96229032839901,-0,-0,-0,-0,-0,0.84049312866546,0,-0
-0,-0,-0,-0,3.96229032839901,-0,-0,-0,-0,-0,0.84049312866546,0
0,-0,-0,-0,-0,2142.78385811813,0,-0,-0,-0,-0,162.595615096839
63.5052496084083,-0,-0,-0,-0,0,12.7875771444049,-0,-0,-0,-0,-0
-0,0.84049312866546,-0,-0,-0,-0,-0,0.203573838735194,-0,-0,-0,-0
-0,0,23.065299034675,-0,-0,-0,-0,-0,2.42319989163126,-0,-0,-0
-0,-0,0,0.84049312866546,-0,-0,-0,-0,-0,0.203573838735194,-0,-0
-0,-0,-0,0,0.84049312866546,-0,-0,-0,-0,-0,0.203573838735194,-0
-0,-0,-0,-0,0,162.595615096839,-0,-0,-0,-0,-0,15.9285400347383
